Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1001706,OCCIDENTAL CHEMICAL CORPORATION - GEISMAR PLANT,GEISMAR,LA,70734,8318 ASHLAND ROAD,30.1875,-90.98833,"152,138.95","152,000.70",63.75,74.50,"135,269.25",
1001708,OCCIDENTAL CHEMICAL CORPORATION - Ludington facility,LUDINGTON,MI,49431,1600 S. MADISON ST.,43.939586,-86.434715,"41,648.20","41,598.40",20.00,29.80,"41,648.20",
1001709,OCCIDENTAL CHEMICAL CORPORATION - Taft Facility,HAHNVILLE,LA,70057,266 HIGHWAY 3142,29.9861,-90.4575,"2,255,184.59","2,252,894.50","1,044.75","1,245.34",135.60,"2,255,048.99"
1001705,OCCIDENTAL CHEMICAL CORPORATION INGLESIDE PLANT,INGLESIDE,TX,78362,4133 STATE HIGHWAY 361,27.883611,-97.241383,"1,450,826.66","1,449,364.00",667.00,795.66,"1,416,330.66",
1001072,OCCIDENTAL CHEMICAL DALLAS SILICATE PLANT,DALLAS,TX,75215,1100 LENWAY ST.,32.75469,-96.77826,"26,038.32","26,017.50",9.50,11.32,"20,213.22",
1002667,OCEAN COUNTY LANDFILL,MANCHESTER,NJ,08759,2498 STATE HWY 70,40.022339,-74.255145,"117,558.40",112.60,"117,445.50",0.30,113.15,
1003738,OFS CS Lindsay Booster,Lindsay,OK,73052,,34.8475694,-97.5629222,"37,430.41","37,391.50",17.75,21.16,"37,430.41",
1003736,OFS GPRP Custer Gas Plant,CUSTER CITY,OK,73639,,35.6489194,-98.8980583,"40,338.25","40,296.60",19.00,22.65,"40,338.25",
1006184,OFS GPRP Maysville,MAYSVILLE,OK,73057,,34.8191778,-97.4426583,"118,934.95","118,812.20",56.00,66.75,"118,934.95",
1003727,OFS GPRP Panther Creek Gas Plant,Canute,OK,73626,,35.54915,-99.2941,"51,298.16","51,245.00",24.25,28.91,"51,298.16",
1006316,OFS GPRP Woodward Gas Plant,Woodward,OK,73801,,36.4414,-99.4775,"26,160.85","26,134.00",12.25,14.60,"26,160.85",
1006177,OGDEN MARTIN SYS OF FAIRFAX,LORTON,VA,22079,9898 FURNACE ROAD,38.6954,-77.2407,"260,928.86","240,269.30","8,056.25","12,603.31","260,928.86",
1004467,OHIO COUNTY BALEFILL LANDFILL,BEAVER DAM,KY,42320,100 LANDFILL LN,37.410393,-86.935151,"57,832.70",97.40,"57,735.00",0.30,97.70,
1001671,OHIO PAPERBOARD CORP,BALTIMORE,OH,43105,310 WATER ST.,39.84719,-82.60468,"29,576.49","29,545.80",14.00,16.69,"29,576.49",
1006948,OHIO UNIVERSITY LAUSCHE HEATING PLANT (0605010016),ATHENS,OH,45701,FACTORY STREET,39.331402,-82.113899,"81,241.63","80,712.60",227.75,301.28,"81,241.63",
1006535,OHIO VALLEY ALUMINUM CO INC,SHELBYVILLE,KY,40065,1100 BROOKS INDL. RD.,38.20904,-85.25669,"29,456.69","29,426.00",14.00,16.69,"29,456.69",
1003661,OHIO WASTE SYS SUBURBAN SOUTH RECYCLING & DISPOSAL,GLENFORD,OH,43739,3415 TOWNSHIP ROAD 447,39.911961,-82.250816,"174,113.02",657.49,"173,454.79",0.75,658.64,
1004425,OHL NGLP Hutchinson Plant,HUTCHINSON,KS,67501,1910 SOUTH BROADACRES ROAD,38.02875,-97.97694,"63,514.56","63,448.80",30.00,35.76,"63,514.56",
1004418,OHL NGLP Medford Plant,MEDFORD,OK,73759,25923 US Highway 81,36.77686,-97.75521,"248,209.66","247,953.20",117.00,139.46,"248,209.66",
1005981,OIL-DRI CORP of GEORGIA,OCHLOCKNEE,GA,31773,28990 GEORGIA HIGHWAY 3 NORTH,31.00415,-84.068814,591.35,590.50,0.25,0.60,591.35,
1004960,OIL-DRI PRODUCTION COMPANY,RIPLEY,MS,38663,1800-1/2 HIGHWAY 15 NORTH,34.736444,-88.945056,21.30,21.30,,,21.30,
1006533,OILDALE ENERGY LLC,BAKERSFIELD,CA,93308,1134 MANOR RD,35.4185,-119.0112,"161,550.59","161,384.00",76.00,90.59,"161,550.59",
1007624,OKC WASTE DISPOSAL /OKLAHOMA CITY LNDFLL,OKLAHOMA CITY,OK,73128,7600 SW 15TH ST,35.45087,-97.64588,"163,127.00",2.00,"163,125.00",,2.00,
1006257,OKLAHOMA LNDFLL HOL/SOUTHERN PLAINS LNDF,Ninnekah,OK,73067,3198 CS 2910,34.913006,-97.91571,0.00,0.00,,,,
1001634,OKLAHOMA STATE UNIVERSITY,STILLWATER,OK,74078,"University Health Services, Suite 002",36.1199,-97.088842,"36,575.72","36,539.00",16.75,19.97,,"36,575.72"
1006252,OLD DOMINION LANDFILL,RICHMOND,VA,23231,2001 CHARLES CITY RD,37.511107,-77.371012,"101,777.50",,"101,777.50",,,
